CustomerId,ProductId,Rating,Cost,Size,Price,PrimaryBrandId,GenderId,MaritalStatus,LowerIncomeBound,UpperIncomeBound
84fa61f6,84fdf5e6,1,1007.3703074960509,100.96380068432816,1504.0231375425865,0,1,1,99995.89371017777,199993.30455927135
84fa61f7,84fdf5e7,1,1009.0165993860892,96.59174824100965,1518.7985456646848,1,1,1,100003.62001368884,199996.44033653763
84fa61f8,84fdf5e8,1,1017.6356795795646,101.38067630056376,1501.3119027109806,1,1,1,99994.04629461098,199989.20031100875
84fa61f9,84fdf5e9,1,1016.6712169423425,79.58174744809645,1508.114820588185,1,1,1,99997.76828826875,199992.02201807586
84fa61fa,84fdf5ea,0,1013.7909772121608,91.33996840809115,1517.5457928925623,0,1,1,100005.97362876785,199996.4210598991
84fa61fb,84fdf5eb,0,1006.5798773466613,115.14108135868779,1502.5461750505765,1,1,0,100009.80125926025,199993.94838620344
84fa61fc,84fdf5ec,1,1000.5136432788325,80.51395571255301,1497.9178336575956,1,1,1,99998.92190675237,200000.39192579014
84fa61fd,84fdf5ed,0,1003.758183775668,105.46639996026579,1519.8563854945417,0,1,0,100002.68122153166,199995.81658039338
84fa61fe,84fdf5ee,1,1010.8742438074745,82.881543368899,1496.1631885981394,1,1,1,99996.8829138568,199993.9386832266
84fa61ff,84fdf5ef,1,1006.5953469343162,117.9262499309015,1490.3738639911314,0,1,1,99995.42810358423,199990.92090442116
84fa6200,84fdf5f0,1,1007.6016919029869,104.28117706676916,1511.4437370273715,0,0,1,99991.44847329968,199997.0721784039
84fa6201,84fdf5f1,1,1007.5085888747997,69.58854436439191,1498.6346214832395,1,1,0,99997.62773887675,200004.19365385707
84fa6202,84fdf5f2,1,1011.0177715756524,96.93414077700828,1514.5658104822962,0,0,0,99992.92000390285,199997.6917117896
84fa6203,84fdf5f3,0,1001.989323312341,110.8280304143863,1505.5264574300334,0,1,0,100013.63521920596,199990.15987707506
84fa6204,84fdf5f4,1,999.9027367,113.38180644258826,1511.2641216278544,0,0,0,99994.10430232921,199999.19262693092
84fa6205,84fdf5f5,1,1010.5929520899602,95.06837257365497,1508.7966123806395,1,0,1,99997.76774999204,199995.47320027187
